,Title,Location,reviewees,reviewers,reviews,ratings
0,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Taya,Toby's listing is wonderful and unique. He was incredibly accommodating and communicative. Would definitely recommend.,5
1,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Philip Anthony,Amazing location. The attention to detail on the flying saucer is astonishing. Really worth visiting...next time we will try the jet...,5
2,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Vanessa,"Great unique 'space' to stay. All facilities and surrounding area made for a great glamping experience.  Close to fabulous beaches to stroll along with the dogs and family. Cobwebs officially blown away with nice big slice of blue sky. Great pubs, cafes and restaurants set amongst a rainbow of colourful buildings. Plenty to do near by, my 12 year old and 19 year old especially enjoyed the go karting. We loved our mini break. Thank you Wales.",5
3,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Louise,"Booke the ufo as a surprise 50th birthday break, it was so much fun, the light show lamps and 80s game console, which my daughter's in their 20s thought were hysterical 🤣 was lovely and warm in the ufo overnight, the campsite was lovely,  very quite the time we were there, loved the different places you could stay. Surrounding area obviously amazing,  with lovely places to visit❤️",5
4,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Wayne,"It's so unusual there is no comparison. Completely unique dwelling.  Lots of other fun properties on the site including 2 planes a submarine,  packman dwelling and a disco  church. If you want to try something different. Give it go.",5
5,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Elizabeth,"Great fun, the kids loved it! Toilet and kitchen block had everything we needed. Clean and convenient. Gated access felt very secure. would recommend!",5
6,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Libby,Stayed here for 2 nights and had the best time! We had everything we needed and the hosts were more than happy to help with anything we asked for.,5
7,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Ebony,Me and my family had a great time in the UFO! We loved every second of it my 9 year old didn’t want to leave and neither did we! Couldn’t fault at all! Would recommend and have already recommended to everyone! AMAZING! Thank you Toby! We’ll be back!,5
8,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Lindsey,"Loved it !!! So unique, great experience, highly recommend for a different stay every was as described",5
9,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Kimberley,"Great stay, quirky place lovely views and kids really enjoyed it. Toby was really friendly and helpful pointing everything out and placed to visit. Highly recommend",5
10,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Sarah,"What an amazing site, so original. We stayed in the spaceship which was so much fun. Thanks Tony and Wolfgang for a great stay",5
11,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Ariya,A rip off for money and terrible communication from the host.,1
12,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Aimee,"Fantastic stay in the UFO, the kids loved it. Lots of little touches made for a really magical stay especially at night! Very clean, all amenities provided. Helpful host and peaceful site, only 10 mins from Tenby",5
13,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Zoe,We had a amazing stay in the UFO! Very comfortable! Hosts were so lovely!,5
14,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Ceri,Lovely night stay in the UFO. The facilities were clean and everything we could need was provided. Prefect for people who love glamping. Lots of room inside and around the pitch. Host was very welcoming and helpful.,5
15,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Al,"Perfect place for Instagram! 🛸 Seriously though, good fun for the kids and for us big kids too. 
Nice and clean. Good facilities. ‘Wolf’ was a great host. Recommended.",5
16,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Estelle,"On arrival we were greeted by Wolf, who kindly gave us a tour of the whole site, which was really interesting. Everywhere was extremely clean. We stayed one night in the UFO, which was great fun. The stairs did malfunction, but they were fixed very quickly and really was all part of the fun. If you are looking for a campsite that is a bit different then this is the place for you. The campsite was great and we would definitely return. We’d like to stay in the Jet Star next time. Thank you for a great stay.",5
17,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Melanie,"Stayed in the Airbus for one night which was warm and cosy and literally like being on a plane, just minus the turbulence. Then spent a night in the ufo which was really quirky. Would definitely recommend!",4
18,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Luke,Lovelly place . Totally different,5
19,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Martyn,"What a wonderful place - so much fun and style and really enjoyable and relaxing. We stayed in the UFO which was, as UFOs should be I suppose, out of this world and we had an absolutely fabulous time in a fantastic place. It was also very cosy and the little touches really made it. Then add in lasers, lights, smoke and '80s video games  and it all adds up to an absolutely brilliant time. Special mention for Wolf who was very friendly and kind and so helpful. Can't recommend it highly enough and we will be back.",5
20,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Michelle,"Had an amazing time here,stayed in the UFO very unique,so many different places to stay,lovely site,everything on hand great location would definetly recommend if you want to stay in something very different,13 minutes from Tenby town centre,Wolf on hand should there be any problems.",5
21,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Megan,5* service. Exceptional cleanliness and hosting. Would recommend and return. Very warm welcome x,5
22,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Deb,"Unusual, quirky and very cool site.  Wolf showed us round and all the accommodation looks amazing.  Ufo was clean, comfy and warm - even in October.  Would recommend as something completely different.",5
23,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Minty,"A stark kooky space for people looking for the basics of glamping. A little lacking in cosy touches but it is a space ship and they're not known for their comforts! That said, the bed was comfortable and the communal kitchen well stocked with equipment. The space had some great points (kids galaxy projector for the ceiling at night was cool) and some that could do with some work (we loved the styling of the retractable steps but the noise was a surprise, especially at night!) We had a great weekend, curled up in a storm, snug as bugs in space.",4
24,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Katie,Brill stay... UFO is incredible....Peaceful location....  Wolf was always quick to reply to messages.... whole site was fab.. Will be back!!!! 🛸🏴󠁧󠁢󠁷󠁬󠁳󠁿,5
25,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Siobhan,"Absolutely brilliant stay. Everything was exceptional right from the off. Wold was a brilliant help and gave us a really in depth tour and allowed us to look in all the different types of accommodation. He was super friendly and polite! The UFO was unbelievable and definitely worth the visit! Thank you so much Toby & Wolf, we will definitely return in the not too distant future!",5
26,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Mali,Great atmospheric pod.,4
