,Title,Location,reviewees,reviewers,reviews,ratings
0,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Taya,toby s listing is wonderful and unique  he was incredibly accommodating and communicative  would definitely recommend ,5
1,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Philip Anthony,amazing location  the attention to detail on the flying saucer is astonishing  really worth visiting   next time we will try the jet   ,5
2,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Vanessa,great unique  space  to stay  all facilities and surrounding area made for a great glamping experience   close to fabulous beaches to stroll along with the dogs and family  cobwebs officially blown away with nice big slice of blue sky  great pubs  cafes and restaurants set amongst a rainbow of colourful buildings  plenty to do near by  my 1  year old and 1  year old especially enjoyed the go karting  we loved our mini break  thank you wales ,5
3,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Louise,booke the ufo as a surprise  0th birthday break  it was so much fun  the light show lamps and  0s game console  which my daughter s in their  0s thought were hysterical   was lovely and warm in the ufo overnight  the campsite was lovely   very quite the time we were there  loved the different places you could stay  surrounding area obviously amazing   with lovely places to visit  ,5
4,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Wayne,it s so unusual there is no comparison  completely unique dwelling   lots of other fun properties on the site including   planes a submarine   packman dwelling and a disco  church  if you want to try something different  give it go ,5
5,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Elizabeth,great fun  the kids loved it  toilet and kitchen block had everything we needed  clean and convenient  gated access felt very secure  would recommend ,5
6,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Libby,stayed here for   nights and had the best time  we had everything we needed and the hosts were more than happy to help with anything we asked for ,5
7,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Ebony,me and my family had a great time in the ufo  we loved every second of it my   year old didn t want to leave and neither did we  couldn t fault at all  would recommend and have already recommended to everyone  amazing  thank you toby  we ll be back ,5
8,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Lindsey,loved it     so unique  great experience  highly recommend for a different stay every was as described,5
9,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Kimberley,great stay  quirky place lovely views and kids really enjoyed it  toby was really friendly and helpful pointing everything out and placed to visit  highly recommend,5
10,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Sarah,what an amazing site  so original  we stayed in the spaceship which was so much fun  thanks tony and wolfgang for a great stay,5
11,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Ariya,a rip off for money and terrible communication from the host ,1
12,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Aimee,fantastic stay in the ufo  the kids loved it  lots of little touches made for a really magical stay especially at night  very clean  all amenities provided  helpful host and peaceful site  only 10 mins from tenby,5
13,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Zoe,we had a amazing stay in the ufo  very comfortable  hosts were so lovely ,5
14,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Ceri,lovely night stay in the ufo  the facilities were clean and everything we could need was provided  prefect for people who love glamping  lots of room inside and around the pitch  host was very welcoming and helpful ,5
15,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Al,perfect place for instagram    seriously though  good fun for the kids and for us big kids too   nice and clean  good facilities   wolf  was a great host  recommended ,5
16,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Estelle,on arrival we were greeted by wolf  who kindly gave us a tour of the whole site  which was really interesting  everywhere was extremely clean  we stayed one night in the ufo  which was great fun  the stairs did malfunction  but they were fixed very quickly and really was all part of the fun  if you are looking for a campsite that is a bit different then this is the place for you  the campsite was great and we would definitely return  we d like to stay in the jet star next time  thank you for a great stay ,5
17,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Melanie,stayed in the airbus for one night which was warm and cosy and literally like being on a plane  just minus the turbulence  then spent a night in the ufo which was really quirky  would definitely recommend ,4
18,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Luke,lovelly place   totally different,5
19,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Martyn,what a wonderful place   so much fun and style and really enjoyable and relaxing  we stayed in the ufo which was  as ufos should be i suppose  out of this world and we had an absolutely fabulous time in a fantastic place  it was also very cosy and the little touches really made it  then add in lasers  lights  smoke and   0s video games  and it all adds up to an absolutely brilliant time  special mention for wolf who was very friendly and kind and so helpful  can t recommend it highly enough and we will be back ,5
20,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Michelle,had an amazing time here stayed in the ufo very unique so many different places to stay lovely site everything on hand great location would definetly recommend if you want to stay in something very different 1  minutes from tenby town centre wolf on hand should there be any problems ,5
21,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Megan,   service  exceptional cleanliness and hosting  would recommend and return  very warm welcome x,5
22,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Deb,unusual  quirky and very cool site   wolf showed us round and all the accommodation looks amazing   ufo was clean  comfy and warm   even in october   would recommend as something completely different ,5
23,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Minty,a stark kooky space for people looking for the basics of glamping  a little lacking in cosy touches but it is a space ship and they re not known for their comforts  that said  the bed was comfortable and the communal kitchen well stocked with equipment  the space had some great points  kids galaxy projector for the ceiling at night was cool  and some that could do with some work  we loved the styling of the retractable steps but the noise was a surprise  especially at night   we had a great weekend  curled up in a storm  snug as bugs in space ,4
24,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Katie,brill stay    ufo is incredible    peaceful location      wolf was always quick to reply to messages     whole site was fab   will be back             ,5
25,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Siobhan,absolutely brilliant stay  everything was exceptional right from the off  wold was a brilliant help and gave us a really in depth tour and allowed us to look in all the different types of accommodation  he was super friendly and polite  the ufo was unbelievable and definitely worth the visit  thank you so much toby   wolf  we will definitely return in the not too distant future ,5
26,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Mali,great atmospheric pod ,4
27,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Ian,great concept  kids loved it  toby and the team do a great job maintaining the site,5
28,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Angus,very cool set up    definitely something different,5
