,Title,Location,reviewees,reviewers,reviews,ratings
0,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Taya,toby listing wonderful unique  incredibly accommodating communicative  would definitely recommend ,5
1,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Philip Anthony,amazing location  attention detail flying saucer astonishing  really worth visiting   next time try jet   ,5
2,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Vanessa,great unique  space  stay  facilities surrounding area made great glamping experience   close fabulous beaches stroll along dogs family  cobwebs officially blown away nice big slice blue sky  great pubs  cafes restaurants set amongst rainbow colourful buildings  plenty near  1  year old 1  year old especially enjoyed go karting  loved mini break  thank wales ,5
3,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Louise,booke ufo surprise  0th birthday break  much fun  light show lamps  0s game console  daughter  0s thought hysterical   lovely warm ufo overnight  campsite lovely   quite time  loved different places could stay  surrounding area obviously amazing   lovely places visit  ,5
4,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Wayne,unusual comparison  completely unique dwelling   lots fun properties site including   planes submarine   packman dwelling disco  church  want try something different  give go ,5
5,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Elizabeth,great fun  kids loved  toilet kitchen block everything needed  clean convenient  gated access felt secure  would recommend ,5
6,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Libby,stayed   nights best time  everything needed hosts happy help anything asked ,5
7,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Ebony,family great time ufo  loved every second   year old want leave neither  fault  would recommend already recommended everyone  amazing  thank toby  back ,5
8,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Lindsey,loved     unique  great experience  highly recommend different stay every described,5
9,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Kimberley,great stay  quirky place lovely views kids really enjoyed  toby really friendly helpful pointing everything placed visit  highly recommend,5
10,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Sarah,amazing site  original  stayed spaceship much fun  thanks tony wolfgang great stay,5
11,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Ariya,rip money terrible communication host ,1
12,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Aimee,fantastic stay ufo  kids loved  lots little touches made really magical stay especially night  clean  amenities provided  helpful host peaceful site  10 mins tenby,5
13,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Zoe,amazing stay ufo  comfortable  hosts lovely ,5
14,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Ceri,lovely night stay ufo  facilities clean everything could need provided  prefect people love glamping  lots room inside around pitch  host welcoming helpful ,5
15,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Al,perfect place instagram    seriously though  good fun kids us big kids   nice clean  good facilities   wolf  great host  recommended ,5
16,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Estelle,arrival greeted wolf  kindly gave us tour whole site  really interesting  everywhere extremely clean  stayed one night ufo  great fun  stairs malfunction  fixed quickly really part fun  looking campsite bit different place  campsite great would definitely return  like stay jet star next time  thank great stay ,5
17,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Melanie,stayed airbus one night warm cosy literally like plane  minus turbulence  spent night ufo really quirky  would definitely recommend ,4
18,UFO  'Futuro styled Flying Saucer'!," Planes for Rent in Redberth, United Kingdom ",Toby,Luke,lovelly place   totally different,5
